name	size	imports
flare.analytics.cluster.AgglomerativeCluster	3938	flare.animate.Transitioner|flare.vis.data.DataList|flare.util.math.IMatrix|flare.analytics.cluster.MergeEdge|flare.analytics.cluster.HierarchicalCluster|flare.vis.data.Data
flare.analytics.cluster.CommunityStructure	3812	flare.analytics.cluster.HierarchicalCluster|flare.animate.Transitioner|flare.vis.data.DataList|flare.analytics.cluster.MergeEdge|flare.util.math.IMatrix
flare.analytics.cluster.HierarchicalCluster	6714	flare.vis.data.EdgeSprite|flare.vis.data.NodeSprite|flare.vis.data.DataList|flare.vis.data.Tree|flare.util.Arrays|flare.analytics.cluster.MergeEdge|flare.util.Sort|flare.vis.operator.Operator|flare.util.Property|flare.vis.data.Data
flare.analytics.cluster.MergeEdge	743	
flare.analytics.graph.BetweennessCentrality	3534	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.vis.data.DataList|flare.util.Arrays|flare.vis.data.Data|flare.util.Property|flare.vis.operator.Operator
flare.analytics.graph.LinkDistance	5731	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.vis.data.EdgeSprite|flare.analytics.graph.ShortestPaths|flare.vis.data.Data|flare.util.Property|flare.vis.operator.Operator
flare.analytics.graph.MaxFlowMinCut	7840	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.vis.data.EdgeSprite|flare.vis.data.Data|flare.util.Property|flare.vis.operator.Operator
flare.analytics.graph.ShortestPaths	5914	flare.vis.data.EdgeSprite|flare.vis.data.NodeSprite|flare.animate.Transitioner|flare.vis.operator.Operator|flare.util.heap.HeapNode|flare.util.heap.FibonacciHeap|flare.util.Property|flare.vis.data.Data
flare.analytics.graph.SpanningTree	3416	flare.animate.Transitioner|flare.vis.data.NodeSprite|flare.vis.operator.IOperator|flare.vis.Visualization|flare.vis.data.TreeBuilder|flare.vis.operator.Operator
flare.analytics.optimization.AspectRatioBanker	7074	flare.animate.Transitioner|flare.util.Arrays|flare.vis.data.DataSprite|flare.scale.Scale|flare.vis.axis.CartesianAxes|flare.vis.Visualization|flare.util.Property|flare.vis.operator.Operator
flare.animate.Easing	17010	flare.animate.Transition
flare.animate.FunctionSequence	5842	flare.util.Maths|flare.animate.Transition|flare.util.Arrays|flare.animate.Sequence|flare.animate.Transitioner
flare.animate.interpolate.ArrayInterpolator	1983	flare.util.Arrays|flare.animate.interpolate.Interpolator
flare.animate.interpolate.ColorInterpolator	2047	flare.animate.interpolate.Interpolator
flare.animate.interpolate.DateInterpolator	1375	flare.animate.interpolate.Interpolator
flare.animate.interpolate.Interpolator	8746	flare.animate.interpolate.NumberInterpolator|flare.animate.interpolate.ColorInterpolator|flare.animate.interpolate.PointInterpolator|flare.animate.interpolate.ObjectInterpolator|flare.animate.interpolate.MatrixInterpolator|flare.animate.interpolate.RectangleInterpolator|flare.animate.interpolate.DateInterpolator|flare.util.Property|flare.animate.interpolate.ArrayInterpolator
flare.animate.interpolate.MatrixInterpolator	2202	flare.animate.interpolate.Interpolator
flare.animate.interpolate.NumberInterpolator	1382	flare.animate.interpolate.Interpolator
flare.animate.interpolate.ObjectInterpolator	1629	flare.animate.interpolate.Interpolator
flare.animate.interpolate.PointInterpolator	1675	flare.animate.interpolate.Interpolator
flare.animate.interpolate.RectangleInterpolator	2042	flare.animate.interpolate.Interpolator
flare.animate.ISchedulable	1041	flare.animate.Scheduler
flare.animate.Parallel	5176	flare.animate.Easing|flare.animate.Transition|flare.util.Arrays
flare.animate.Pause	449	flare.animate.Transition
flare.animate.Scheduler	5593	flare.animate.ISchedulable|flare.animate.Pause|flare.animate.Transition
flare.animate.Sequence	5534	flare.animate.Easing|flare.util.Maths|flare.animate.Transition|flare.util.Arrays
flare.animate.Transition	9201	flare.animate.Transitioner|flare.animate.TransitionEvent|flare.animate.Scheduler|flare.animate.Pause|flare.animate.Parallel|flare.animate.Easing|flare.animate.Sequence|flare.animate.ISchedulable|flare.util.Maths|flare.animate.Tween
